#1k,2f(k),3kw
8.755602643e-04,3.122783269e-01,2.246904801e-03
4.612700113e-03,3.122786784e-01,5.229063397e-03
1.133375687e-02,3.122805159e-01,8.212515093e-03
2.103620733e-02,3.122859076e-01,1.119144215e-02
3.371443550e-02,3.122978612e-01,1.416375736e-02
4.936090754e-02,3.123203817e-01,1.712763020e-02
6.796628638e-02,3.123585935e-01,2.008127492e-02
8.951945782e-02,3.124189109e-01,2.302292128e-02
1.140075427e-01,3.125094466e-01,2.595080916e-02
1.414159063e-01,3.126402567e-01,2.886318771e-02
1.717281678e-01,3.128237484e-01,3.175831581e-02
2.049262107e-01,3.130748679e-01,3.463446283e-02
2.409901933e-01,3.134110073e-01,3.748990963e-02
2.798985608e-01,3.138515277e-01,4.032294945e-02
3.216280586e-01,3.144169046e-01,4.313188899e-02
3.661537456e-01,3.151276340e-01,4.591504936e-02
4.134490096e-01,3.160031320e-01,4.867076708e-02
4.634855830e-01,3.170608754e-01,5.139739508e-02
5.162335598e-01,3.183159619e-01,5.409330370e-02
5.716614133e-01,3.197811516e-01,5.675688162e-02
6.297360152e-01,3.214673394e-01,5.938653686e-02
6.904226553e-01,3.233843302e-01,6.198069772e-02
7.536850621e-01,3.255417672e-01,6.453781370e-02
8.194854247e-01,3.279500715e-01,6.705635644e-02
8.877844152e-01,3.306212914e-01,6.953482066e-02
9.585412125e-01,3.335697984e-01,7.197172502e-02
1.031713526e+00,3.368128111e-01,7.436561301e-02
1.107257622e+00,3.403707540e-01,7.671505384e-02
1.185128350e+00,3.442674794e-01,7.901864330e-02
1.265279166e+00,3.485303886e-01,8.127500455e-02
1.347662166e+00,3.531904874e-01,8.348278901e-02
1.432228112e+00,3.582824084e-01,8.564067712e-02
1.518926458e+00,3.638444228e-01,8.774737914e-02
1.607705388e+00,3.699184565e-01,8.980163593e-02
1.698511839e+00,3.765501164e-01,9.180221969e-02
1.791291537e+00,3.837887269e-01,9.374793470e-02
1.885989030e+00,3.916873678e-01,9.563761805e-02
1.982547719e+00,4.003029004e-01,9.747014029e-02
2.080909892e+00,4.096959630e-01,9.924440616e-02
2.181016759e+00,4.199309101e-01,1.009593552e-01
2.282808488e+00,4.310756653e-01,1.026139624e-01
2.386224240e+00,4.432014494e-01,1.042072389e-01
2.491202204e+00,4.563823375e-01,1.057382323e-01
2.597679638e+00,4.706945912e-01,1.072060277e-01
2.705592901e+00,4.862157000e-01,1.086097477e-01
2.814877495e+00,5.030230600e-01,1.099485533e-01
2.925468102e+00,5.211922035e-01,1.112216445e-01
3.037298625e+00,5.407944932e-01,1.124282602e-01
3.150302223e+00,5.618941868e-01,1.135676793e-01
3.264411357e+00,5.845447895e-01,1.146392207e-01
3.379557825e+00,6.087846279e-01,1.156422441e-01
3.495672806e+00,6.346316173e-01,1.165761500e-01
3.612686899e+00,6.620772549e-01,1.174403801e-01
3.730530168e+00,6.910799614e-01,1.182344179e-01
3.849132179e+00,7.215580147e-01,1.189577889e-01
3.968422045e+00,7.533824741e-01,1.196100607e-01
4.088328470e+00,7.863706696e-01,1.201908434e-01
4.208779786e+00,8.202810122e-01,1.206997899e-01
4.329704003e+00,8.548100358e-01,1.211365961e-01
4.451028844e+00,8.895926612e-01,1.215010008e-01
4.572681797e+00,9.242066374e-01,1.217927863e-01
4.694590152e+00,9.581818950e-01,1.220117782e-01
4.816681045e+00,9.910151378e-01,1.221578455e-01
4.938881505e+00,1.022189387e+00,1.222309010e-01
5.061118495e+00,1.051197466e+00,1.222309010e-01
5.183318955e+00,1.077567657e+00,1.221578455e-01
5.305409848e+00,1.100889212e+00,1.220117782e-01
5.427318203e+00,1.120835076e+00,1.217927863e-01
5.548971156e+00,1.137179389e+00,1.215010008e-01
5.670295997e+00,1.149807868e+00,1.211365961e-01
5.791220214e+00,1.158720116e+00,1.206997899e-01
5.911671530e+00,1.164023955e+00,1.201908434e-01
6.031577955e+00,1.165922885e+00,1.196100607e-01
6.150867821e+00,1.164698496e+00,1.189577889e-01
6.269469832e+00,1.160690019e+00,1.182344179e-01
6.387313101e+00,1.154273201e+00,1.174403801e-01
6.504327194e+00,1.145840344e+00,1.165761500e-01
6.620442175e+00,1.135782871e+00,1.156422441e-01
6.735588643e+00,1.124477205e+00,1.146392207e-01
6.849697777e+00,1.112274228e+00,1.135676793e-01
6.962701375e+00,1.099492208e+00,1.124282602e-01
7.074531898e+00,1.086412783e+00,1.112216445e-01
7.185122505e+00,1.073279465e+00,1.099485533e-01
7.294407099e+00,1.060298088e+00,1.086097477e-01
7.402320362e+00,1.047638626e+00,1.072060277e-01
7.508797796e+00,1.035437919e+00,1.057382323e-01
7.613775760e+00,1.023802897e+00,1.042072389e-01
7.717191512e+00,1.012814016e+00,1.026139624e-01
7.818983241e+00,1.002528679e+00,1.009593552e-01
7.919090108e+00,9.929845035e-01,9.924440616e-02
8.017452281e+00,9.842023401e-01,9.747014029e-02
8.114010970e+00,9.761890073e-01,9.563761805e-02
8.208708463e+00,9.689397155e-01,9.374793470e-02
8.301488161e+00,9.624401929e-01,9.180221969e-02
8.392294612e+00,9.566685273e-01,8.980163593e-02
8.481073542e+00,9.515967508e-01,8.774737914e-02
8.567771888e+00,9.471921940e-01,8.564067712e-02
8.652337834e+00,9.434186405e-01,8.348278901e-02
8.734720834e+00,9.402373058e-01,8.127500455e-02
8.814871650e+00,9.376076681e-01,7.901864330e-02
8.892742378e+00,9.354881717e-01,7.671505384e-02
8.968286474e+00,9.338368219e-01,7.436561301e-02
9.041458788e+00,9.326116875e-01,7.197172502e-02
9.112215585e+00,9.317713250e-01,6.953482066e-02
9.180514575e+00,9.312751337e-01,6.705635644e-02
9.246314938e+00,9.310836521e-01,6.453781370e-02
9.309577345e+00,9.311588026e-01,6.198069772e-02
9.370263985e+00,9.314640897e-01,5.938653686e-02
9.428338587e+00,9.319647568e-01,5.675688162e-02
9.483766440e+00,9.326279066e-01,5.409330370e-02
9.536514417e+00,9.334225869e-01,5.139739508e-02
9.586550990e+00,9.343198470e-01,4.867076708e-02
9.633846254e+00,9.352927666e-01,4.591504936e-02
9.678371941e+00,9.363164603e-01,4.313188899e-02
9.720101439e+00,9.373680606e-01,4.032294945e-02
9.759009807e+00,9.384266834e-01,3.748990963e-02
9.795073789e+00,9.394733769e-01,3.463446283e-02
9.828271832e+00,9.404910594e-01,3.175831581e-02
9.858584094e+00,9.414644466e-01,2.886318771e-02
9.885992457e+00,9.423799737e-01,2.595080916e-02
9.910480542e+00,9.432257124e-01,2.302292128e-02
9.932033714e+00,9.439912887e-01,2.008127492e-02
9.950639092e+00,9.446678015e-01,1.712763020e-02
9.966285565e+00,9.452477456e-01,1.416375736e-02
9.978963793e+00,9.457249411e-01,1.119144215e-02
9.988666243e+00,9.460944717e-01,8.212515093e-03
9.995387300e+00,9.463526364e-01,5.229063397e-03
9.999124440e+00,9.464969529e-01,2.246904801e-03
1.000271073e+01,9.466359578e-01,6.956417265e-03
1.001428092e+01,9.470878245e-01,1.618918028e-02
1.003508931e+01,9.479134013e-01,2.542594673e-02
1.006512810e+01,9.491338098e-01,3.464870491e-02
1.010437989e+01,9.507777314e-01,4.385099278e-02
1.015282137e+01,9.528797692e-01,5.302714311e-02
1.021042362e+01,9.554780762e-01,6.217162715e-02
1.027715224e+01,9.586113265e-01,7.127896429e-02
1.035296735e+01,9.623150035e-01,8.034370517e-02
1.043782365e+01,9.666169866e-01,8.936042916e-02
1.053167041e+01,9.715324477e-01,9.832374574e-02
1.063445155e+01,9.770581264e-01,1.072282969e-01
1.074610564e+01,9.831661399e-01,1.160687602e-01
1.086656594e+01,9.897976100e-01,1.248398515e-01
1.099576047e+01,9.968565647e-01,1.335363283e-01
1.113361200e+01,1.004204783e+00,1.421529928e-01
1.128003813e+01,1.011658484e+00,1.506846949e-01
1.143495136e+01,1.018987991e+00,1.591263352e-01
1.159825910e+01,1.025921600e+00,1.674728682e-01
1.176986374e+01,1.032154871e+00,1.757193055e-01
1.194966270e+01,1.037366180e+00,1.838607181e-01
1.213754854e+01,1.041238674e+00,1.918922401e-01
1.233340895e+01,1.043487699e+00,1.998090712e-01
1.253712687e+01,1.043891428e+00,2.076064795e-01
1.274858055e+01,1.042321125e+00,2.152798048e-01
1.296764359e+01,1.038766632e+00,2.228244607e-01
1.319418508e+01,1.033352592e+00,2.302359379e-01
1.342806960e+01,1.026341913e+00,2.375098067e-01
1.366915737e+01,1.018124863e+00,2.446417196e-01
1.391730430e+01,1.009194530e+00,2.516274141e-01
1.417236207e+01,1.000111592e+00,2.584627148e-01
1.443417823e+01,9.914626779e-01,2.651435363e-01
1.470259631e+01,9.838169270e-01,2.716658858e-01
1.497745588e+01,9.776845770e-01,2.780258648e-01
1.525859265e+01,9.734800394e-01,2.842196721e-01
1.554583860e+01,9.714905378e-01,2.902436058e-01
1.583902204e+01,9.718505103e-01,2.960940655e-01
1.613796774e+01,9.745220207e-01,3.017675543e-01
1.644249703e+01,9.792824733e-01,3.072606815e-01
1.675242789e+01,9.857227247e-01,3.125701637e-01
1.706757508e+01,9.932605602e-01,3.176928277e-01
1.738775025e+01,1.001175362e+00,3.226256116e-01
1.771276202e+01,1.008668306e+00,3.273655673e-01
1.804241616e+01,1.014947629e+00,3.319098617e-01
1.837651562e+01,1.019330660e+00,3.362557788e-01
1.871486072e+01,1.021345675e+00,3.404007211e-01
1.905724924e+01,1.020811189e+00,3.443422113e-01
1.940347654e+01,1.017871798e+00,3.480778935e-01
1.975333568e+01,1.012979318e+00,3.516055350e-01
2.010661756e+01,1.006822438e+00,3.549230273e-01
2.046311103e+01,1.000221391e+00,3.580283878e-01
2.082260301e+01,9.940107580e-01,3.609197603e-01
2.118487864e+01,9.889318608e-01,3.635954167e-01
2.154972140e+01,9.855487951e-01,3.660537579e-01
2.191691323e+01,9.841936149e-01,3.682933144e-01
2.228623465e+01,9.849402312e-01,3.703127479e-01
2.265746494e+01,9.876045674e-01,3.721108512e-01
2.303038222e+01,9.917694447e-01,3.736865497e-01
2.340476359e+01,9.968342155e-01,3.750389016e-01
2.378038530e+01,1.002088832e+00,3.761670986e-01
2.415702284e+01,1.006808338e+00,3.770704665e-01
2.453445111e+01,1.010357118e+00,3.777484652e-01
2.491244452e+01,1.012285366e+00,3.782006896e-01
2.529077714e+01,1.012397273e+00,3.784268694e-01
2.566922286e+01,1.010774498e+00,3.784268694e-01
2.604755548e+01,1.007749363e+00,3.782006896e-01
2.642554889e+01,1.003835645e+00,3.777484652e-01
2.680297716e+01,9.996350642e-01,3.770704665e-01
2.717961470e+01,9.957407229e-01,3.761670986e-01
2.755523641e+01,9.926549442e-01,3.750389016e-01
2.792961778e+01,9.907315729e-01,3.736865497e-01
2.830253506e+01,9.901455402e-01,3.721108512e-01
2.867376535e+01,9.908877844e-01,3.703127479e-01
2.904308677e+01,9.927816507e-01,3.682933144e-01
2.941027860e+01,9.955166008e-01,3.660537579e-01
2.977512136e+01,9.986950200e-01,3.635954167e-01
3.013739699e+01,1.001887245e+00,3.609197603e-01
3.049688897e+01,1.004688597e+00,3.580283878e-01
3.085338244e+01,1.006770952e+00,3.549230273e-01
3.120666432e+01,1.007921235e+00,3.516055350e-01
3.155652346e+01,1.008061016e+00,3.480778935e-01
3.190275076e+01,1.007244900e+00,3.443422113e-01
3.224513928e+01,1.005639739e+00,3.404007211e-01
3.258348438e+01,1.003490326e+00,3.362557788e-01
3.291758384e+01,1.001079118e+00,3.319098617e-01
3.324723798e+01,9.986872608e-01,3.273655673e-01
3.357224975e+01,9.965623831e-01,3.226256116e-01
3.389242492e+01,9.948961345e-01,3.176928277e-01
3.420757211e+01,9.938121406e-01,3.125701637e-01
3.451750297e+01,9.933634140e-01,3.072606815e-01
3.482203226e+01,9.935373797e-01,3.017675543e-01
3.512097796e+01,9.942663784e-01,2.960940655e-01
3.541416140e+01,9.954415729e-01,2.902436058e-01
3.570140735e+01,9.969283925e-01,2.842196721e-01
3.598254412e+01,9.985819112e-01,2.780258648e-01
3.625740369e+01,1.000260825e+00,2.716658858e-01
3.652582177e+01,1.001838991e+00,2.651435363e-01
3.678763793e+01,1.003213842e+00,2.584627148e-01
3.704269570e+01,1.004311340e+00,2.516274141e-01
3.729084263e+01,1.005087561e+00,2.446417196e-01
3.753193040e+01,1.005527314e+00,2.375098067e-01
3.776581492e+01,1.005640458e+00,2.302359379e-01
3.799235641e+01,1.005456731e+00,2.228244607e-01
3.821141945e+01,1.005019896e+00,2.152798048e-01
3.842287313e+01,1.004381917e+00,2.076064795e-01
3.862659105e+01,1.003597701e+00,1.998090712e-01
3.882245146e+01,1.002720778e+00,1.918922401e-01
3.901033730e+01,1.001800052e+00,1.838607181e-01
3.919013626e+01,1.000877659e+00,1.757193055e-01
3.936174090e+01,9.999878178e-01,1.674728682e-01
3.952504864e+01,9.991565078e-01,1.591263352e-01
3.967996187e+01,9.984017802e-01,1.506846949e-01
3.982638800e+01,9.977345111e-01,1.421529928e-01
3.996423953e+01,9.971594189e-01,1.335363283e-01
4.009343406e+01,9.966762043e-01,1.248398515e-01
4.021389436e+01,9.962806998e-01,1.160687602e-01
4.032554845e+01,9.959659521e-01,1.072282969e-01
4.042832959e+01,9.957231863e-01,9.832374574e-02
4.052217635e+01,9.955426261e-01,8.936042916e-02
4.060703265e+01,9.954141610e-01,8.034370517e-02
4.068284776e+01,9.953278672e-01,7.127896429e-02
4.074957638e+01,9.952743942e-01,6.217162715e-02
4.080717863e+01,9.952452384e-01,5.302714311e-02
4.085562011e+01,9.952329220e-01,4.385099278e-02
4.089487190e+01,9.952311023e-01,3.464870491e-02
4.092491069e+01,9.952346278e-01,2.542594673e-02
4.094571908e+01,9.952395612e-01,1.618918028e-02
4.095728927e+01,9.952431838e-01,6.956417265e-03
